STATE_ABBR,STATE,COUNTY_NAME,FIPS_STATE,FIPS_COUNTY,FIPS_CODE
AZ,Arizona,Mohave,04,015,04015
LA,Louisiana,Tangipahoa,22,105,22105
ID,Idaho,Lincoln,16,063,16063
MN,Minnesota,Polk,27,119,27119
ND,North Dakota,Cass,38,017,38017
SD,South Dakota,Lawrence,46,081,46081
NY,New York,Schoharie,36,095,36095
AK,Alaska,Wrangell,02,275,02275
GA,Georgia,Haralson,13,143,13143
GA,Georgia,Bleckley,13,023,13023
IN,Indiana,Lawrence,18,093,18093
IN,Indiana,Jennings,18,079,18079
MI,Michigan,Lapeer,26,087,26087
MS,Mississippi,Chickasaw,28,017,28017
OH,Ohio,Crawford,39,033,39033
SD,South Dakota,Minnehaha,46,099,46099
SD,South Dakota,Turner,46,125,46125
TX,Texas,Walker,48,471,48471
SD,South Dakota,Aurora,46,003,46003
TX,Texas,Brooks,48,047,48047
NE,Nebraska,Chase,31,029,31029
CO,Colorado,Conejos,08,021,08021
MD,Maryland,Washington,24,043,24043
KS,Kansas,Norton,20,137,20137
IL,Illinois,Ford,17,053,17053
TX,Texas,Deaf Smith,48,117,48117
GA,Georgia,Sumter,13,261,13261
WI,Wisconsin,Marinette,55,075,55075
CA,California,San Benito,06,069,06069
GA,Georgia,Meriwether,13,199,13199
IA,Iowa,Black Hawk,19,013,19013
IA,Iowa,Hancock,19,081,19081
MN,Minnesota,Red Lake,27,125,27125
NE,Nebraska,Nance,31,125,31125
PA,Pennsylvania,Lebanon,42,075,42075
TX,Texas,Hockley,48,219,48219
TX,Texas,Shackelford,48,417,48417
TX,Texas,Tom Green,48,451,48451
TX,Texas,Wise,48,497,48497
SD,South Dakota,Lake,46,079,46079
SD,South Dakota,Hyde,46,069,46069
TX,Texas,Cottle,48,101,48101
AZ,Arizona,Santa Cruz,04,023,04023
IA,Iowa,Wapello,19,179,19179
IA,Iowa,Cedar,19,031,19031
MT,Montana,Garfield,30,033,30033
MO,Missouri,St. Clair,29,185,29185
FL,Florida,Okaloosa,12,091,12091
KY,Kentucky,Todd,21,219,21219
ME,Maine,Aroostook,23,003,23003
MD,Maryland,Allegany,24,001,24001
MS,Mississippi,Lauderdale,28,075,28075
ND,North Dakota,Dickey,38,021,38021
MN,Minnesota,Meeker,27,093,27093
SD,South Dakota,Bennett,46,007,46007
UT,Utah,Summit,49,043,49043
NY,New York,Seneca,36,099,36099
KS,Kansas,Greenwood,20,073,20073
KS,Kansas,Lane,20,101,20101
MI,Michigan,Newaygo,26,123,26123
NE,Nebraska,Clay,31,035,31035
NY,New York,Orleans,36,073,36073
ND,North Dakota,Nelson,38,063,38063
OK,Oklahoma,Blaine,40,011,40011
TX,Texas,Taylor,48,441,48441
TX,Texas,Armstrong,48,011,48011
TX,Texas,Hutchinson,48,233,48233
TX,Texas,Irion,48,235,48235
WI,Wisconsin,Waushara,55,137,55137
TN,Tennessee,Scott,47,151,47151
WI,Wisconsin,Sawyer,55,113,55113
MI,Michigan,Isabella,26,073,26073
MS,Mississippi,Stone,28,131,28131
MS,Mississippi,Calhoun,28,013,28013
NE,Nebraska,Thomas,31,171,31171
TX,Texas,Mitchell,48,335,48335
CO,Colorado,Jackson,08,057,08057
IA,Iowa,Howard,19,089,19089
MI,Michigan,Sanilac,26,151,26151
IN,Indiana,Jay,18,075,18075
ND,North Dakota,Renville,38,075,38075
OR,Oregon,Gilliam,41,021,41021
MO,Missouri,McDonald,29,119,29119
TX,Texas,Yoakum,48,501,48501
TX,Texas,Childress,48,075,48075
GA,Georgia,Douglas,13,097,13097
AK,Alaska,Kusilvak,02,158,02158
IA,Iowa,Warren,19,181,19181
OK,Oklahoma,Comanche,40,031,40031
OK,Oklahoma,Beckham,40,009,40009
SD,South Dakota,Buffalo,46,017,46017
TX,Texas,Gillespie,48,171,48171
TX,Texas,Dickens,48,125,48125
TX,Texas,La Salle,48,283,48283
WV,West Virginia,Tucker,54,093,54093
CA,California,Shasta,06,089,06089
IL,Illinois,Saline,17,165,17165
MI,Michigan,Manistee,26,101,26101
NE,Nebraska,Garfield,31,071,31071
NE,Nebraska,Custer,31,041,31041
SD,South Dakota,Miner,46,097,46097
SD,South Dakota,Clark,46,025,46025
AR,Arkansas,Cross,05,037,05037
CO,Colorado,Archuleta,08,007,08007
FL,Florida,Glades,12,043,12043
SD,South Dakota,Gregory,46,053,46053
TX,Texas,Hansford,48,195,48195
WA,Washington,Pierce,53,053,53053
GA,Georgia,Coweta,13,077,13077
