INSURANCE,State,Region,AGECAT2,Age,Race,Gender,DEMENTIACAT,Count
FFS,AL,South,0-64,<65,White,Male,Highly Likely,34471
FFS,AL,South,0-64,<65,White,Female,Highly Likely,32749
FFS,AL,South,0-64,<65,Black,Male,Highly Likely,20772
FFS,AL,South,0-64,<65,Black,Female,Highly Likely,18296
FFS,AL,South,0-64,<65,Hispanic,Male,Highly Likely,145
FFS,AL,South,0-64,<65,Hispanic,Female,Highly Likely,87
FFS,AL,South,0-64,<65,Asian,Male,Highly Likely,186
FFS,AL,South,0-64,<65,Asian,Female,Highly Likely,206
FFS,AL,South,0-64,<65,Other,Male,Highly Likely,604
FFS,AL,South,0-64,<65,Other,Female,Highly Likely,723
FFS,AL,South,0-64,<65,AI/AN,Male,Highly Likely,117
FFS,AL,South,0-64,<65,AI/AN,Female,Highly Likely,89
FFS,AL,South,65+,65-69,White,Male,Highly Likely,50282
FFS,AL,South,65+,65-69,White,Female,Highly Likely,51917
FFS,AL,South,65+,65-69,Black,Male,Highly Likely,12866
FFS,AL,South,65+,65-69,Black,Female,Highly Likely,12891
FFS,AL,South,65+,65-69,Hispanic,Male,Highly Likely,115
FFS,AL,South,65+,65-69,Hispanic,Female,Highly Likely,188
FFS,AL,South,65+,65-69,Asian,Male,Highly Likely,412
FFS,AL,South,65+,65-69,Asian,Female,Highly Likely,641
FFS,AL,South,65+,65-69,Other,Male,Highly Likely,723
FFS,AL,South,65+,65-69,Other,Female,Highly Likely,688
FFS,AL,South,65+,65-69,AI/AN,Male,Highly Likely,56
FFS,AL,South,65+,65-69,AI/AN,Female,Highly Likely,48
FFS,AL,South,65+,70-74,White,Male,Highly Likely,50257
FFS,AL,South,65+,70-74,White,Female,Highly Likely,54242
FFS,AL,South,65+,70-74,Black,Male,Highly Likely,9383
FFS,AL,South,65+,70-74,Black,Female,Highly Likely,9557
FFS,AL,South,65+,70-74,Hispanic,Male,Highly Likely,181
FFS,AL,South,65+,70-74,Hispanic,Female,Highly Likely,268
FFS,AL,South,65+,70-74,Asian,Male,Highly Likely,387
FFS,AL,South,65+,70-74,Asian,Female,Highly Likely,582
FFS,AL,South,65+,70-74,Other,Male,Highly Likely,578
FFS,AL,South,65+,70-74,Other,Female,Highly Likely,515
FFS,AL,South,65+,70-74,AI/AN,Male,Highly Likely,39
FFS,AL,South,65+,70-74,AI/AN,Female,Highly Likely,54
FFS,AL,South,65+,75-79,White,Male,Highly Likely,32531
FFS,AL,South,65+,75-79,White,Female,Highly Likely,39221
FFS,AL,South,65+,75-79,Black,Male,Highly Likely,4543
FFS,AL,South,65+,75-79,Black,Female,Highly Likely,5317
FFS,AL,South,65+,75-79,Hispanic,Male,Highly Likely,186
FFS,AL,South,65+,75-79,Hispanic,Female,Highly Likely,186
FFS,AL,South,65+,75-79,Asian,Male,Highly Likely,183
