ID,Name,State,2020 Mean,Rank,1901-2000 Mean
AL-001,Autauga County,Alabama,68.69,123,53.5
AL-003,Baldwin County,Alabama,63.27,72,61.89
AL-005,Barbour County,Alabama,69.05,124,52.3
AL-007,Bibb County,Alabama,67.36,121,55.17
AL-009,Blount County,Alabama,71.47,126,55.51
AL-011,Bullock County,Alabama,64.82,118,52.08
AL-013,Butler County,Alabama,64.42,111,55.71
AL-015,Calhoun County,Alabama,68.91,125,53.32
AL-017,Chambers County,Alabama,71.1,126,53.29
AL-019,Cherokee County,Alabama,70.15,128,53.52
AL-021,Chilton County,Alabama,70.76,124,54.16
AL-023,Choctaw County,Alabama,66.92,115,56.81
AL-025,Clarke County,Alabama,56.94,63,57.9
AL-027,Clay County,Alabama,76.01,128,55.79
AL-029,Cleburne County,Alabama,70.81,125,53.89
AL-031,Coffee County,Alabama,63.19,100,56.2
AL-033,Colbert County,Alabama,78.06,129,53.55
AL-035,Conecuh County,Alabama,64.65,101,58.01
AL-037,Coosa County,Alabama,77.34,128,54.61
AL-039,Covington County,Alabama,65.58,101,58.63
AL-041,Crenshaw County,Alabama,64.02,110,55.37
AL-043,Cullman County,Alabama,71.26,124,56.07
AL-045,Dale County,Alabama,65.48,110,54.39
AL-047,Dallas County,Alabama,59.46,104,52.8
AL-049,DeKalb County,Alabama,73.81,128,55.44
AL-051,Elmore County,Alabama,70.94,124,53.43
AL-053,Escambia County,Alabama,67.01,100,60.43
AL-055,Etowah County,Alabama,71.27,128,54.4
AL-057,Fayette County,Alabama,74.07,125,56.24
AL-059,Franklin County,Alabama,80.53,129,54.7
AL-061,Geneva County,Alabama,69.16,114,57.21
AL-063,Greene County,Alabama,70.44,126,52.94
AL-065,Hale County,Alabama,66.83,122,53.71
AL-067,Henry County,Alabama,69.38,123,53.32
AL-069,Houston County,Alabama,67.27,118,54.15
AL-071,Jackson County,Alabama,79.83,130,54.76
AL-073,Jefferson County,Alabama,70.32,123,55.49
AL-075,Lamar County,Alabama,75.8,126,54.95
AL-077,Lauderdale County,Alabama,75.37,129,53.99
AL-079,Lawrence County,Alabama,75.76,130,53.41
AL-081,Lee County,Alabama,71.43,127,52.28
AL-083,Limestone County,Alabama,71.29,126,53.73
AL-085,Lowndes County,Alabama,65.17,121,52.36
AL-087,Macon County,Alabama,66.35,122,51.72
AL-089,Madison County,Alabama,74.8,130,54.37
AL-091,Marengo County,Alabama,58.83,99,54.18
AL-093,Marion County,Alabama,79.94,130,55.59
AL-095,Marshall County,Alabama,72.97,127,54.38
AL-097,Mobile County,Alabama,58.19,38,62.48
AL-099,Monroe County,Alabama,61.12,91,57.24
