Predictors,Coefficient,Standard Error,t,p-value
Intercept,399.2046359661,6.722324834221151,59.38490712824233,0.0
1 AM,17.17944083593045,8.161966984122534,2.1048162617356327,0.035307989703512364
2 AM,20.150077835953965,8.516650269832555,2.3659628137284234,0.017983772154635997
3 AM,61.115765010511886,8.783272214370548,6.958200032844107,3.4522655046663306e-12
4 AM,61.006202311599075,8.989634558891533,6.786282791802544,1.1523471838830795e-11
5 AM,80.24337245556724,9.126357119538056,8.792486575369612,1.4690373394778894e-18
6 AM,151.7100917713403,8.826742188734231,17.187552159954475,3.496313218802766e-66
7 AM,128.49666612453726,8.29699406407253,15.487134874659104,4.410011876596144e-54
8 AM,138.25888761293447,7.721873191105327,17.904837879517647,1.1607501605273732e-71
9 AM,124.78388310812235,7.383128924841273,16.90121957484374,4.663080456724763e-64
10 AM,110.7839676154196,7.297409934899802,15.181272342341114,4.8822238894257054e-52
11 AM,150.80106776168537,7.258142430268693,20.776812967020103,7.979916298160146e-96
12 PM,173.4312672177237,7.2484514467050944,23.92666468043457,2.0269746027436557e-126
1 PM,204.37750822177048,7.258788982643732,28.155868521657172,3.1307921155623262e-174
2 PM,258.5650833113856,7.225520256544192,35.78497798510797,5.838647374003544e-280
3 PM,341.28193671155185,7.238738113249086,47.14660640739336,0.0
4 PM,356.0016135430488,7.278050956698954,48.914416189319674,0.0
5 PM,401.382593527902,7.2928048668237775,55.03816444532341,0.0
6 PM,411.54842241902725,7.3057737953784505,56.33194155003378,0.0
7 PM,223.97139965046645,7.316776765808827,30.61066461629402,1.6153168129567921e-205
8 PM,101.25487126638157,7.375028085485718,13.72942178561384,6.93630520071945e-43
9 PM,42.081173624446954,7.458470912619379,5.642064454960546,1.6814759273570054e-08
10 PM,20.661017288536552,7.577145495669501,2.7267547258192097,0.006396362992043252
11 PM,6.322682769480823,7.795362916066844,0.8110825419621307,0.4173188019144696
Monday,-62.743561694546614,3.9308999789616426,-15.9616276248068,2.473621638670817e-57
Tuesday,-19.616192572656747,3.923142539458676,-5.0001223191251745,5.732053421655119e-07
Wednesday,-23.182310580390173,3.922708232705892,-5.909771822208395,3.4288575928596274e-09
Thursday,-27.539202419511557,3.9037991858971295,-7.0544618480888355,1.735771604119223e-12
Friday,-147.24893658958808,3.9730953334988035,-37.06151607993688,4.2837139414394524e-300
Saturday,-155.9536399620967,4.0025410091600255,-38.96365823740185,0.0
Severity Level: Medium,151.5817463422701,2.8265873950708555,53.62712173931218,0.0
Severity Level: Low,435.06433121141373,2.7187083996280568,160.0261106600967,0.0
Brooklyn,-53.72482958235285,2.9625953862461136,-18.134379683358397,1.8386386202971075e-73
Hanhattan,17.361086180387648,3.079530884664274,5.637574952355227,1.7258886275108667e-08
Queens,-124.97641943449881,3.1943384227598672,-39.12435155399746,0.0
Richmond / Staten Island,-220.1205313291176,5.6326426772896205,-39.07944173640315,0.0
