Predictors,Coefficient,Standard Error,t,p-value
Intercept,206.16364930423939,11.960451440537915,17.237112690034653,1.4877091916793065e-66
1 AM,19.529311059043664,8.177712783941933,2.388114082141912,0.0169355975423692
2 AM,21.761760258542687,8.526912813884614,2.55212651208388,0.010707173619391391
3 AM,62.793766691473465,8.802166144966447,7.133899276302838,9.774768519377402e-13
4 AM,62.140588650709475,9.015552354910632,6.892599166912106,5.487181856797102e-12
5 AM,79.35883335671271,9.15228135207334,8.670934634099169,4.303223589019488e-18
6 AM,151.148117946372,8.872061769378314,17.036414068718017,4.677623684093611e-65
7 AM,129.63815416987725,8.329835857713544,15.563110292243097,1.3509065974830417e-54
8 AM,139.88864948480892,7.743290164828639,18.065789413421093,6.385675227097047e-73
9 AM,127.69299236587112,7.400898137648892,17.253715696516327,1.1164936762977938e-66
10 AM,113.9653864773621,7.311407301132106,15.587339315608311,9.250719313550654e-55
11 AM,155.04739963513012,7.273738192077562,21.316054488186733,9.307466770602671e-101
12 PM,177.3983428387931,7.2659291041896985,24.415094104964663,1.5151641538536173e-131
1 PM,208.27944113284337,7.276076456126254,28.625240868308612,5.205478333135816e-180
2 PM,263.48205903392085,7.246027981902393,36.362274571943566,5.67212363409437e-289
3 PM,345.9508130402191,7.2597382372495805,47.65334530453894,0.0
4 PM,360.5433894919237,7.300166928838088,49.38837604762945,0.0
5 PM,406.6442799591001,7.314318755935013,55.5956465021625,0.0
6 PM,416.48024289434164,7.3296313863792095,56.82144448195506,0.0
7 PM,227.88386132546253,7.3363131752450315,31.062450018411496,1.4815638145002367e-211
8 PM,104.20591460230287,7.394034572985571,14.093241460220346,4.296815616070441e-45
9 PM,43.51553731278615,7.479175696650013,5.818226376507926,5.952555968004649e-09
10 PM,22.87351892002377,7.6009061162423786,3.009314754085087,0.0026185585893164147
11 PM,8.01171753780476,7.814278502120517,1.025266444705121,0.3052381748003627
Monday,-61.929837547884205,3.941215813032224,-15.713384012898723,1.2781542365995732e-55
Tuesday,-17.95687854724614,3.932433229614535,-4.566353069141956,4.9644702476879346e-06
Wednesday,-21.32504044494585,3.933193202485973,-5.421813612274975,5.9035268711574695e-08
Thursday,-26.587910309829397,3.91427403218643,-6.792552103200082,1.1033742001377028e-11
Friday,-147.51066958868384,3.98378109740034,-37.02780498781511,1.511274636182842e-299
Saturday,-155.25683761602082,4.013645752493204,-38.68224731083407,0.0
Severity Level: Medium,152.64120797319225,2.8376851086691834,53.79074919442978,0.0
Severity Level: Low,436.97341430934114,2.720675924547881,160.61207818493006,0.0
Brooklyn,26.913267504064827,4.214243849334462,6.386262510252018,1.701956237964017e-10
Hanhattan,123.65884962295256,4.1326078082380775,29.922715960717806,1.742240071147627e-196
Queens,-36.40124260119684,4.463629347746436,-8.155077351925478,3.5006476924858523e-16
Richmond / Staten Island,-95.69911644804121,6.572880389141107,-14.55969236959543,5.231099972927059e-48
High Black ZIP,24.189224105207664,4.445175021867891,5.441680920595832,5.2814530960900754e-08
Median Income,0.0001786941013890735,4.865969480848082e-05,3.672322691138811,0.00024039075837625523
White Percent,-32.902871298615125,11.855144613812143,-2.775408682934224,0.005513523070246492
Black Percent,143.34128448018285,12.031609909083373,11.913724394602092,1.0182855593163693e-32
Hispanic Percent,193.923727039904,10.071380680320056,19.254929705798926,1.4130256686010344e-82
