Predictors,Coefficient,Standard Error,t,p-value
Intercept,87.46507932017069,1.6949887228883709,51.602160025657575,0.0
1 AM,17.179440835967668,8.161966984122664,2.10481626174016,0.035307989703118166
2 AM,20.150077835901516,8.516650269831235,2.3659628137226307,0.017983772154917334
3 AM,61.115765010391634,8.783272214370525,6.958200032830435,3.452265505001226e-12
4 AM,61.006202311638184,8.989634558891966,6.786282791806568,1.1523471838509696e-11
5 AM,80.24337245567145,9.126357119538158,8.792486575380932,1.4690373393298368e-18
6 AM,151.71009177123418,8.826742188734688,17.18755215994156,3.4963132195807684e-66
7 AM,128.4966661245879,8.296994064073026,15.487134874664287,4.410011876240908e-54
8 AM,138.25888761287607,7.7218731911065746,17.904837879507188,1.1607501607452232e-71
9 AM,124.7838831081136,7.383128924841273,16.901219574842557,4.663080456817858e-64
10 AM,110.7839676153858,7.2974099348999,15.181272342336273,4.882223889785808e-52
11 AM,150.80106776169086,7.258142430268825,20.77681296702048,7.9799162980974e-96
12 PM,173.43126721775948,7.2484514467048875,23.926664680440197,2.0269746024703398e-126
1 PM,204.37750822177293,7.258788982643888,28.15586852165689,3.1307921155867374e-174
2 PM,258.56508331139725,7.2255202565445344,35.784977985107886,5.83864737402015e-280
3 PM,341.28193671150024,7.238738113249285,47.14660640738493,0.0
4 PM,356.0016135430265,7.278050956699048,48.91441618931598,0.0
5 PM,401.38259352785883,7.2928048668240795,55.038164445315196,0.0
6 PM,411.5484224189994,7.3057737953788,56.33194155002725,0.0
7 PM,223.97139965043945,7.316776765808952,30.610664616289807,1.6153168131648028e-205
8 PM,101.25487126640486,7.375028085485805,13.72942178561684,6.936305200432589e-43
9 PM,42.081173624543084,7.458470912619702,5.642064454973191,1.6814759272334828e-08
10 PM,20.661017288568164,7.577145495669719,2.726754725823304,0.006396362991963922
11 PM,6.322682769347759,7.795362916066773,0.8110825419450685,0.4173188019242673
Monday,-62.743561694702905,3.930899978961453,-15.961627624847324,2.4736216370657566e-57
Tuesday,-19.616192572651247,3.9231425394587274,-5.00012231912371,5.732053421698655e-07
Wednesday,-23.182310580232496,3.9227082327059297,-5.909771822168143,3.428857593697396e-09
Thursday,-27.53920241949407,3.9037991858971166,-7.0544618480843795,1.7357716041748168e-12
Friday,-147.24893658959508,3.9730953334987062,-37.06151607993956,4.283713941014964e-300
Saturday,-155.9536399621031,4.002541009160003,-38.963658237403656,0.0
Severity Level: Medium,151.58174634225261,2.8265873950706952,53.62712173930906,0.0
Severity Level: Low,435.06433121139776,2.7187083996279644,160.02611066009624,0.0
Brooklyn,-77.4562122361194,2.428298013654877,-31.897325534413554,5.927625015032417e-223
Hanhattan,89.42430562710884,2.378468126171256,37.59743704073083,9.34246699183541e-309
Queens,-22.875192695867074,2.268807769923697,-10.082472829611474,6.652303614838687e-24
Richmond / Staten Island,-119.8751696441976,3.6276299142783217,-33.045038352002194,4.162221610049322e-239
High Black (Borough),140.79113603311674,2.152977104834655,65.39369866821194,0.0
Median Income (Borough),0.0021875575082887615,5.797260197348172e-05,37.734333699381146,0.0
White Percent (Borough),-28.75511496658295,0.8204864640869124,-35.04642212298213,1.2469921020398118e-268
Black Percent (Borough),40.936374774861356,0.6828396243924161,59.95020399011867,0.0
Hispanic Percent (Borough),104.93667731035843,1.8474050136700888,56.80220446186257,0.0
