,coef,std_err,t,p_value
Intercept,399.2046359661,6.72232483422115,59.384907128242325,0.0
C(hour)[T.1],17.17944083593045,8.161966984122534,2.1048162617356327,0.03530798970351236
C(hour)[T.2],20.150077835953965,8.516650269832555,2.365962813728423,0.017983772154635997
C(hour)[T.3],61.11576501051188,8.783272214370548,6.958200032844107,3.4522655046663302e-12
C(hour)[T.4],61.006202311599075,8.989634558891533,6.786282791802545,1.1523471838830794e-11
C(hour)[T.5],80.24337245556723,9.126357119538055,8.792486575369612,1.4690373394778894e-18
C(hour)[T.6],151.7100917713403,8.82674218873423,17.187552159954475,3.4963132188027663e-66
C(hour)[T.7],128.49666612453726,8.29699406407253,15.487134874659104,4.410011876596145e-54
C(hour)[T.8],138.25888761293447,7.721873191105326,17.90483787951765,1.1607501605273732e-71
C(hour)[T.9],124.78388310812234,7.383128924841273,16.90121957484374,4.663080456724764e-64
C(hour)[T.10],110.78396761541961,7.297409934899802,15.181272342341112,4.882223889425706e-52
C(hour)[T.11],150.80106776168535,7.258142430268693,20.7768129670201,7.979916298160148e-96
C(hour)[T.12],173.43126721772367,7.248451446705095,23.92666468043457,2.0269746027436563e-126
C(hour)[T.13],204.37750822177048,7.258788982643731,28.15586852165717,3.1307921155623267e-174
C(hour)[T.14],258.56508331138554,7.225520256544191,35.784977985107965,5.838647374003547e-280
C(hour)[T.15],341.2819367115519,7.238738113249086,47.146606407393364,0.0
C(hour)[T.16],356.00161354304885,7.278050956698954,48.914416189319674,0.0
C(hour)[T.17],401.382593527902,7.2928048668237775,55.03816444532341,0.0
C(hour)[T.18],411.54842241902725,7.30577379537845,56.331941550033775,0.0
C(hour)[T.19],223.97139965046648,7.316776765808828,30.61066461629402,1.615316812956793e-205
C(hour)[T.20],101.25487126638156,7.375028085485719,13.72942178561384,6.9363052007194494e-43
C(hour)[T.21],42.08117362444695,7.45847091261938,5.642064454960546,1.6814759273570057e-08
C(hour)[T.22],20.661017288536552,7.577145495669501,2.72675472581921,0.006396362992043252
C(hour)[T.23],6.3226827694808225,7.795362916066843,0.8110825419621307,0.4173188019144696
C(day_of_week)[T.1],-62.74356169454662,3.9308999789616426,-15.9616276248068,2.4736216386708177e-57
C(day_of_week)[T.2],-19.616192572656743,3.923142539458676,-5.000122319125175,5.732053421655119e-07
C(day_of_week)[T.3],-23.18231058039017,3.9227082327058915,-5.909771822208395,3.4288575928596274e-09
C(day_of_week)[T.4],-27.539202419511557,3.9037991858971304,-7.054461848088835,1.735771604119223e-12
C(day_of_week)[T.5],-147.24893658958806,3.973095333498803,-37.06151607993688,4.283713941439455e-300
C(day_of_week)[T.6],-155.95363996209667,4.002541009160025,-38.963658237401845,0.0
C(severity_tier_numeric)[T.2],151.58174634227007,2.8265873950708555,53.62712173931218,0.0
C(severity_tier_numeric)[T.3],435.06433121141384,2.718708399628057,160.0261106600967,0.0
C(borough)[T.BROOKLYN],-53.72482958235284,2.962595386246114,-18.134379683358393,1.838638620297108e-73
C(borough)[T.MANHATTAN],17.361086180387648,3.079530884664274,5.637574952355228,1.7258886275108667e-08
C(borough)[T.QUEENS],-124.9764194344988,3.1943384227598672,-39.12435155399746,0.0
C(borough)[T.RICHMOND / STATEN ISLAND],-220.12053132911757,5.6326426772896205,-39.07944173640315,0.0
